title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning
Pruning Boolean d-DNNF Circuits Through Tseitin-Awareness,['Vincent Derkinderen'],"Boolean circuits in d-DNNF form enable tractable probabilistic inference.
However, as a key insight of this work, we show that commonly used d-DNNF
compilation approaches introduce irrelevant subcircuits. We call these
subcircuits Tseitin artifacts, as they are introduced due to the Tseitin
transformation step -- a well-established procedure to transform any circuit
into the CNF format required by several d-DNNF knowledge compilers. We discuss
how to detect and remove both Tseitin variables and Tseitin artifacts, leading
to more succinct circuits. We empirically observe an average size reduction of
77.5% when removing both Tseitin variables and artifacts. The additional
pruning of Tseitin artifacts reduces the size by 22.2% on average. This
significantly improves downstream tasks that benefit from a more succinct
circuit, e.g., probabilistic inference tasks.",http://arxiv.org/pdf/2407.17951v1,2024-07-25,2407.17951v1,Pruning Boolean d-DNNF Circuits Through Tseitin-Awareness,gpt-4,highly irrelevant,This paper focuses on the pruning of Boolean d-DNNF Circuits and does not mention any prompting techniques or prompt engineering in its abstract.
Real Time American Sign Language Detection Using Yolo-v9,"['Amna Imran', 'Meghana Shashishekhara Hulikal', 'Hamza A. A. Gardi']","This paper focuses on real-time American Sign Language Detection. YOLO is a
convolutional neural network (CNN) based model, which was first released in
2015. In recent years, it gained popularity for its real-time detection
capabilities. Our study specifically targets YOLO-v9 model, released in 2024.
As the model is newly introduced, not much work has been done on it, especially
not in Sign Language Detection. Our paper provides deep insight on how YOLO- v9
works and better than previous model.",http://arxiv.org/pdf/2407.17950v1,2024-07-25,2407.17950v1,Real Time American Sign Language Detection Using Yolo-v9,gpt-4,highly irrelevant,"The paper discusses American Sign Language detection using a CNN-based model YOLO-v9, but does not mention or seem to apply concepts of prompt engineering or hard prefix prompting."
Positive Text Reframing under Multi-strategy Optimization,"['Shutong Jia', 'Biwei Cao', 'Qingqing Gao', 'Jiuxin Cao', 'Bo Liu']","Differing from sentiment transfer, positive reframing seeks to substitute
negative perspectives with positive expressions while preserving the original
meaning. With the emergence of pre-trained language models (PLMs), it is
possible to achieve acceptable results by fine-tuning PLMs. Nevertheless,
generating fluent, diverse and task-constrained reframing text remains a
significant challenge. To tackle this issue, a \textbf{m}ulti-\textbf{s}trategy
\textbf{o}ptimization \textbf{f}ramework (MSOF) is proposed in this paper.
Starting from the objective of positive reframing, we first design positive
sentiment reward and content preservation reward to encourage the model to
transform the negative expressions of the original text while ensuring the
integrity and consistency of the semantics. Then, different decoding
optimization approaches are introduced to improve the quality of text
generation. Finally, based on the modeling formula of positive reframing, we
propose a multi-dimensional re-ranking method that further selects candidate
sentences from three dimensions: strategy consistency, text similarity and
fluency. Extensive experiments on two Seq2Seq PLMs, BART and T5, demonstrate
our framework achieves significant improvements on unconstrained and controlled
positive reframing tasks.",http://arxiv.org/pdf/2407.17940v1,2024-07-25,2407.17940v1,Positive Text Reframing under Multi-strategy Optimization,gpt-4,highly irrelevant,"The paper makes no mention of prompt engineering or the use of hard prefix prompts in its abstract, rather it is focused on fine-tuning pre-trained models for the task of positive text reframing."
Comparison of different Artificial Neural Networks for Bitcoin price forecasting,"['Silas Baumann', 'Karl A. Busch', 'Hamza A. A. Gardi']","This study investigates the impact of varying sequence lengths on the
accuracy of predicting cryptocurrency returns using Artificial Neural Networks
(ANNs). Utilizing the Mean Absolute Error (MAE) as a threshold criterion, we
aim to enhance prediction accuracy by excluding returns that are smaller than
this threshold, thus mitigating errors associated with minor returns. The
subsequent evaluation focuses on the accuracy of predicted returns that exceed
this threshold. We compare four sequence lengths 168 hours (7 days), 72 hours
(3 days), 24 hours, and 12 hours each with a return prediction interval of 2
hours. Our findings reveal the influence of sequence length on prediction
accuracy and underscore the potential for optimized sequence configurations in
financial forecasting models.",http://arxiv.org/pdf/2407.17930v1,2024-07-25,2407.17930v1,Comparison of different Artificial Neural Networks for Bitcoin price forecasting,gpt-4,highly irrelevant,The paper does not discuss anything about prompt engineering or hard prefix prompting but rather focuses on prediction accuracy in financial forecasting models using artificial neural networks.
Invariance of deep image quality metrics to affine transformations,"['Nuria Alabau-Bosque', 'Paula Daudén-Oliver', 'Jorge Vila-Tomás', 'Valero Laparra', 'Jesús Malo']","Deep architectures are the current state-of-the-art in predicting subjective
image quality. Usually, these models are evaluated according to their ability
to correlate with human opinion in databases with a range of distortions that
may appear in digital media. However, these oversee affine transformations
which may represent better the changes in the images actually happening in
natural conditions. Humans can be particularly invariant to these natural
transformations, as opposed to the digital ones. In this work, we evaluate
state-of-the-art deep image quality metrics by assessing their invariance to
affine transformations, specifically: rotation, translation, scaling, and
changes in spectral illumination. We propose a methodology to assign
invisibility thresholds for any perceptual metric. This methodology involves
transforming the distance measured by an arbitrary metric to a common distance
representation based on available subjectively rated databases. We
psychophysically measure an absolute detection threshold in that common
representation and express it in the physical units of each affine transform
for each metric. By doing so, we allow the analyzed metrics to be directly
comparable with actual human thresholds. We find that none of the
state-of-the-art metrics shows human-like results under this strong test based
on invisibility thresholds. This means that tuning the models exclusively to
predict the visibility of generic distortions may disregard other properties of
human vision as for instance invariances or invisibility thresholds.",http://arxiv.org/pdf/2407.17927v1,2024-07-25,2407.17927v1,Invariance of deep image quality metrics to affine transformations,gpt-4,highly irrelevant,The paper focuses on the invariance of deep image quality metrics to affine transformations and does not mention or allude to hard prefix prompting or prompt engineering.
Modelling Multimodal Integration in Human Concept Processing with Vision-and-Language Models,"['Anna Bavaresco', 'Marianne de Heer Kloots', 'Sandro Pezzelle', 'Raquel Fernández']","Representations from deep neural networks (DNNs) have proven remarkably
predictive of neural activity involved in both visual and linguistic
processing. Despite these successes, most studies to date concern unimodal
DNNs, encoding either visual or textual input but not both. Yet, there is
growing evidence that human meaning representations integrate linguistic and
sensory-motor information. Here we investigate whether the integration of
multimodal information operated by current vision-and-language DNN models
(VLMs) leads to representations that are more aligned with human brain activity
than those obtained by language-only and vision-only DNNs. We focus on fMRI
responses recorded while participants read concept words in the context of
either a full sentence or an accompanying picture. Our results reveal that VLM
representations correlate more strongly than language- and vision-only DNNs
with activations in brain areas functionally related to language processing. A
comparison between different types of visuo-linguistic architectures shows that
recent generative VLMs tend to be less brain-aligned than previous
architectures with lower performance on downstream applications. Moreover,
through an additional analysis comparing brain vs. behavioural alignment across
multiple VLMs, we show that -- with one remarkable exception -- representations
that strongly align with behavioural judgments do not correlate highly with
brain responses. This indicates that brain similarity does not go hand in hand
with behavioural similarity, and vice versa.",http://arxiv.org/pdf/2407.17914v1,2024-07-25,2407.17914v1,Modelling Multimodal Integration in Human Concept Processing with Vision-and-Language Models,gpt-4,highly irrelevant,The paper focuses on the multimodal integration in human concept processing with vision-and-language models but doesn't mention anything about hard prompt engineering or prompting techniques.
ReCorD: Reasoning and Correcting Diffusion for HOI Generation,"['Jian-Yu Jiang-Lin', 'Kang-Yang Huang', 'Ling Lo', 'Yi-Ning Huang', 'Terence Lin', 'Jhih-Ciang Wu', 'Hong-Han Shuai', 'Wen-Huang Cheng']","Diffusion models revolutionize image generation by leveraging natural
language to guide the creation of multimedia content. Despite significant
advancements in such generative models, challenges persist in depicting
detailed human-object interactions, especially regarding pose and object
placement accuracy. We introduce a training-free method named Reasoning and
Correcting Diffusion (ReCorD) to address these challenges. Our model couples
Latent Diffusion Models with Visual Language Models to refine the generation
process, ensuring precise depictions of HOIs. We propose an interaction-aware
reasoning module to improve the interpretation of the interaction, along with
an interaction correcting module to refine the output image for more precise
HOI generation delicately. Through a meticulous process of pose selection and
object positioning, ReCorD achieves superior fidelity in generated images while
efficiently reducing computational requirements. We conduct comprehensive
experiments on three benchmarks to demonstrate the significant progress in
solving text-to-image generation tasks, showcasing ReCorD's ability to render
complex interactions accurately by outperforming existing methods in HOI
classification score, as well as FID and Verb CLIP-Score. Project website is
available at https://alberthkyhky.github.io/ReCorD/ .",http://arxiv.org/pdf/2407.17911v1,2024-07-25,2407.17911v1,ReCorD: Reasoning and Correcting Diffusion for HOI Generation,gpt-4,highly irrelevant,"The paper focuses on a training-free diffusion model for image generation using natural language, but does not mention prompting or prompt engineering at all."
Causal Deepsets for Off-policy Evaluation under Spatial or Spatio-temporal Interferences,"['Runpeng Dai', 'Jianing Wang', 'Fan Zhou', 'Shikai Luo', 'Zhiwei Qin', 'Chengchun Shi', 'Hongtu Zhu']","Off-policy evaluation (OPE) is widely applied in sectors such as
pharmaceuticals and e-commerce to evaluate the efficacy of novel products or
policies from offline datasets. This paper introduces a causal deepset
framework that relaxes several key structural assumptions, primarily the
mean-field assumption, prevalent in existing OPE methodologies that handle
spatio-temporal interference. These traditional assumptions frequently prove
inadequate in real-world settings, thereby restricting the capability of
current OPE methods to effectively address complex interference effects. In
response, we advocate for the implementation of the permutation invariance (PI)
assumption. This innovative approach enables the data-driven, adaptive learning
of the mean-field function, offering a more flexible estimation method beyond
conventional averaging. Furthermore, we present novel algorithms that
incorporate the PI assumption into OPE and thoroughly examine their theoretical
foundations. Our numerical analyses demonstrate that this novel approach yields
significantly more precise estimations than existing baseline algorithms,
thereby substantially improving the practical applicability and effectiveness
of OPE methodologies. A Python implementation of our proposed method is
available at https://github.com/BIG-S2/Causal-Deepsets.",http://arxiv.org/pdf/2407.17910v1,2024-07-25,2407.17910v1,Causal Deepsets for Off-policy Evaluation under Spatial or Spatio-temporal Interferences,gpt-4,highly irrelevant,"The paper is about off-policy evaluation methodologies with a focus on the implementation of the permutation invariance assumption, and does not discuss anything about prompt engineering or hard prefix prompts."
3D Hole Filling using Deep Learning Inpainting,"['Marina Hernández-Bautista', 'F. J. Melero']","The current work presents a novel methodology for completing 3D surfaces
produced from 3D digitization technologies in places where there is a scarcity
of meaningful geometric data. Incomplete or missing data in these
three-dimensional (3D) models can lead to erroneous or flawed renderings,
limiting their usefulness in a variety of applications such as visualization,
geometric computation, and 3D printing. Conventional surface estimation
approaches often produce implausible results, especially when dealing with
complex surfaces. To address this issue, we propose a technique that
incorporates neural network-based 2D inpainting to effectively reconstruct 3D
surfaces. Our customized neural networks were trained on a dataset containing
over 1 million curvature images. These images show the curvature of vertices as
planar representations in 2D. Furthermore, we used a coarse-to-fine surface
deformation technique to improve the accuracy of the reconstructed pictures and
assure surface adaptability. This strategy enables the system to learn and
generalize patterns from input data, resulting in the development of precise
and comprehensive three-dimensional surfaces. Our methodology excels in the
shape completion process, effectively filling complex holes in
three-dimensional surfaces with a remarkable level of realism and precision.",http://arxiv.org/pdf/2407.17896v1,2024-07-25,2407.17896v1,3D Hole Filling using Deep Learning Inpainting,gpt-4,highly irrelevant,This paper focuses on 3D surfaces reconstruction using neural networks and does not discuss prompt engineering or hard prefix prompting techniques.
An Iterative Approach to Topic Modelling,"['Albert Wong', 'Florence Wing Yau Cheng', 'Ashley Keung', 'Yamileth Hercules', 'Mary Alexandra Garcia', 'Yew-Wei Lim', 'Lien Pham']","Topic modelling has become increasingly popular for summarizing text data,
such as social media posts and articles. However, topic modelling is usually
completed in one shot. Assessing the quality of resulting topics is
challenging. No effective methods or measures have been developed for assessing
the results or for making further enhancements to the topics. In this research,
we propose we propose to use an iterative process to perform topic modelling
that gives rise to a sense of completeness of the resulting topics when the
process is complete. Using the BERTopic package, a popular method in topic
modelling, we demonstrate how the modelling process can be applied iteratively
to arrive at a set of topics that could not be further improved upon using one
of the three selected measures for clustering comparison as the decision
criteria. This demonstration is conducted using a subset of the COVIDSenti-A
dataset. The early success leads us to believe that further research using in
using this approach in conjunction with other topic modelling algorithms could
be viable.",http://arxiv.org/pdf/2407.17892v1,2024-07-25,2407.17892v1,An Iterative Approach to Topic Modelling,gpt-4,highly irrelevant,The paper focuses on topic modelling and does not discuss hard-prefix prompting or prompt engineering.
Unraveling the Never-Ending Story of Lifecycles and Vitalizing Processes,"['Stephan A. Fahrenkrog-Petersen', 'Saimir Bala', 'Luise Pufahl', 'Jan Mendling']","Business process management (BPM) has been widely used to discover, model,
analyze, and optimize organizational processes. BPM looks at these processes
with analysis techniques that assume a clearly defined start and end. However,
not all processes adhere to this logic, with the consequence that their
behavior cannot be appropriately captured by BPM analysis techniques. This
paper addresses this research problem at a conceptual level. More specifically,
we introduce the notion of vitalizing business processes that target the
lifecycle process of one or more entities. We show the existence of lifecycle
processes in many industries and that their appropriate conceptualizations pave
the way for the definition of suitable modeling and analysis techniques. This
paper provides a set of requirements for their analysis, and a
conceptualization of lifecycle and vitalizing processes.",http://arxiv.org/pdf/2407.17881v1,2024-07-25,2407.17881v1,Unraveling the Never-Ending Story of Lifecycles and Vitalizing Processes,gpt-4,highly irrelevant,This paper is about business process management and does not mention prompt engineering or any related concepts.
HG-PIPE: Vision Transformer Acceleration with Hybrid-Grained Pipeline,"['Qingyu Guo', 'Jiayong Wan', 'Songqiang Xu', 'Meng Li', 'Yuan Wang']","Vision Transformer (ViT) acceleration with field programmable gate array
(FPGA) is promising but challenging. Existing FPGA-based ViT accelerators
mainly rely on temporal architectures, which process different operators by
reusing the same hardware blocks and suffer from extensive memory access
overhead. Pipelined architectures, either coarse-grained or fine-grained,
unroll the ViT computation spatially for memory access efficiency. However,
they usually suffer from significant hardware resource constraints and pipeline
bubbles induced by the global computation dependency of ViT. In this paper, we
introduce HG-PIPE, a pipelined FPGA accelerator for high-throughput and
low-latency ViT processing. HG-PIPE features a hybrid-grained pipeline
architecture to reduce on-chip buffer cost and couples the computation dataflow
and parallelism design to eliminate the pipeline bubbles. HG-PIPE further
introduces careful approximations to implement both linear and non-linear
operators with abundant Lookup Tables (LUTs), thus alleviating resource
constraints. On a ZCU102 FPGA, HG-PIPE achieves 2.78 times better throughput
and 2.52 times better resource efficiency than the prior-art accelerators,
e.g., AutoViTAcc. With a VCK190 FPGA, HG-PIPE realizes end-to-end ViT
acceleration on a single device and achieves 7118 images/s, which is 2.81 times
faster than a V100 GPU.",http://arxiv.org/pdf/2407.17879v1,2024-07-25,2407.17879v1,HG-PIPE: Vision Transformer Acceleration with Hybrid-Grained Pipeline,gpt-4,highly irrelevant,"The paper focuses on the acceleration of Vision Transformers (ViT) using a FPGA accelerator, not on hard prefix prompting or prompt engineering."
A Large-Scale Sensitivity Analysis on Latent Embeddings and Dimensionality Reductions for Text Spatializations,"['Daniel Atzberger', 'Tim Cech', 'Willy Scheibel', 'Jürgen Döllner', 'Michael Behrisch', 'Tobias Schreck']","The semantic similarity between documents of a text corpus can be visualized
using map-like metaphors based on two-dimensional scatterplot layouts. These
layouts result from a dimensionality reduction on the document-term matrix or a
representation within a latent embedding, including topic models. Thereby, the
resulting layout depends on the input data and hyperparameters of the
dimensionality reduction and is therefore affected by changes in them.
Furthermore, the resulting layout is affected by changes in the input data and
hyperparameters of the dimensionality reduction. However, such changes to the
layout require additional cognitive efforts from the user. In this work, we
present a sensitivity study that analyzes the stability of these layouts
concerning (1) changes in the text corpora, (2) changes in the hyperparameter,
and (3) randomness in the initialization. Our approach has two stages: data
measurement and data analysis. First, we derived layouts for the combination of
three text corpora and six text embeddings and a grid-search-inspired
hyperparameter selection of the dimensionality reductions. Afterward, we
quantified the similarity of the layouts through ten metrics, concerning local
and global structures and class separation. Second, we analyzed the resulting
42817 tabular data points in a descriptive statistical analysis. From this, we
derived guidelines for informed decisions on the layout algorithm and highlight
specific hyperparameter settings. We provide our implementation as a Git
repository at
https://github.com/hpicgs/Topic-Models-and-Dimensionality-Reduction-Sensitivity-Study
and results as Zenodo archive at https://doi.org/10.5281/zenodo.12772898.",http://arxiv.org/pdf/2407.17876v1,2024-07-25,2407.17876v1,A Large-Scale Sensitivity Analysis on Latent Embeddings and Dimensionality Reductions for Text Spatializations,gpt-4,highly irrelevant,"The paper primarily focuses on sensitivity analysis of latent embeddings and dimensionality for text spatializations, rather than prompt engineering or hard prefix prompting techniques."
Improving Domain-Specific ASR with LLM-Generated Contextual Descriptions,"['Jiwon Suh', 'Injae Na', 'Woohwan Jung']","End-to-end automatic speech recognition (E2E ASR) systems have significantly
improved speech recognition through training on extensive datasets. Despite
these advancements, they still struggle to accurately recognize domain specific
words, such as proper nouns and technical terminologies. To address this
problem, we propose a method to utilize the state-of-the-art Whisper without
modifying its architecture, preserving its generalization performance while
enabling it to leverage descriptions effectively. Moreover, we propose two
additional training techniques to improve the domain specific ASR: decoder
fine-tuning, and context perturbation. We also propose a method to use a Large
Language Model (LLM) to generate descriptions with simple metadata, when
descriptions are unavailable. Our experiments demonstrate that proposed methods
notably enhance domain-specific ASR accuracy on real-life datasets, with
LLM-generated descriptions outperforming human-crafted ones in effectiveness.",http://arxiv.org/pdf/2407.17874v1,2024-07-25,2407.17874v1,Improving Domain-Specific ASR with LLM-Generated Contextual Descriptions,gpt-4,highly irrelevant,The paper focuses on enhancing automatic speech recognition systems with additional training techniques and not on hard prefix prompting or prompt engineering.
