title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image
WhisperNetV2: SlowFast Siamese Network For Lip-Based Biometrics,"['Abdollah Zakeri', 'Hamid Hassanpour', 'Mohammad Hossein Khosravi', 'Amir Masoud Nourollah']","Lip-based biometric authentication (LBBA) has attracted many researchers
during the last decade. The lip is specifically interesting for biometric
researchers because it is a twin biometric with the potential to function both
as a physiological and a behavioral trait. Although much valuable research was
conducted on LBBA, none of them considered the different emotions of the client
during the video acquisition step of LBBA, which can potentially affect the
client's facial expressions and speech tempo. We proposed a novel network
structure called WhisperNetV2, which extends our previously proposed network
called WhisperNet. Our proposed network leverages a deep Siamese structure with
triplet loss having three identical SlowFast networks as embedding networks.
The SlowFast network is an excellent candidate for our task since the fast
pathway extracts motion-related features (behavioral lip movements) with a high
frame rate and low channel capacity. The slow pathway extracts visual features
(physiological lip appearance) with a low frame rate and high channel capacity.
Using an open-set protocol, we trained our network using the CREMA-D dataset
and acquired an Equal Error Rate (EER) of 0.005 on the test set. Considering
that the acquired EER is less than most similar LBBA methods, our method can be
considered as a state-of-the-art LBBA method.",http://arxiv.org/pdf/2407.08717v1,2024-07-11,2407.08717v1,WhisperNetV2: SlowFast Siamese Network For Lip-Based Biometrics,gpt-3.5-turbo,highly irrelevant,"The paper focuses on the development of a specialized network for lip-based biometric authentication, and does not mention any form of prompting or prompt engineering.",
Towards Efficient Deployment of Hybrid SNNs on Neuromorphic and Edge AI Hardware,"['James Seekings', 'Peyton Chandarana', 'Mahsa Ardakani', 'MohammadReza Mohammadi', 'Ramtin Zand']","This paper explores the synergistic potential of neuromorphic and edge
computing to create a versatile machine learning (ML) system tailored for
processing data captured by dynamic vision sensors. We construct and train
hybrid models, blending spiking neural networks (SNNs) and artificial neural
networks (ANNs) using PyTorch and Lava frameworks. Our hybrid architecture
integrates an SNN for temporal feature extraction and an ANN for
classification. We delve into the challenges of deploying such hybrid
structures on hardware. Specifically, we deploy individual components on
Intel's Neuromorphic Processor Loihi (for SNN) and Jetson Nano (for ANN). We
also propose an accumulator circuit to transfer data from the spiking to the
non-spiking domain. Furthermore, we conduct comprehensive performance analyses
of hybrid SNN-ANN models on a heterogeneous system of neuromorphic and edge AI
hardware, evaluating accuracy, latency, power, and energy consumption. Our
findings demonstrate that the hybrid spiking networks surpass the baseline ANN
model across all metrics and outperform the baseline SNN model in accuracy and
latency.",http://arxiv.org/pdf/2407.08704v1,2024-07-11,2407.08704v1,Towards Efficient Deployment of Hybrid SNNs on Neuromorphic and Edge AI Hardware,gpt-3.5-turbo,highly irrelevant,"This paper focuses on the development and deployment of hybrid neural network models on specific hardware platforms, without mentioning prompt engineering or hard prefix prompts.",
Flex-TPU: A Flexible TPU with Runtime Reconfigurable Dataflow Architecture,"['Mohammed Elbtity', 'Peyton Chandarana', 'Ramtin Zand']","Tensor processing units (TPUs) are one of the most well-known machine
learning (ML) accelerators utilized at large scale in data centers as well as
in tiny ML applications. TPUs offer several improvements and advantages over
conventional ML accelerators, like graphical processing units (GPUs), being
designed specifically to perform the multiply-accumulate (MAC) operations
required in the matrix-matrix and matrix-vector multiplies extensively present
throughout the execution of deep neural networks (DNNs). Such improvements
include maximizing data reuse and minimizing data transfer by leveraging the
temporal dataflow paradigms provided by the systolic array architecture. While
this design provides a significant performance benefit, the current
implementations are restricted to a single dataflow consisting of either input,
output, or weight stationary architectures. This can limit the achievable
performance of DNN inference and reduce the utilization of compute units.
Therefore, the work herein consists of developing a reconfigurable dataflow
TPU, called the Flex-TPU, which can dynamically change the dataflow per layer
during run-time. Our experiments thoroughly test the viability of the Flex-TPU
comparing it to conventional TPU designs across multiple well-known ML
workloads. The results show that our Flex-TPU design achieves a significant
performance increase of up to 2.75x compared to conventional TPU, with only
minor area and power overheads.",http://arxiv.org/pdf/2407.08700v1,2024-07-11,2407.08700v1,Flex-TPU: A Flexible TPU with Runtime Reconfigurable Dataflow Architecture,gpt-3.5-turbo,highly irrelevant,"The paper focuses on developing a flexible TPU with a reconfigurable dataflow architecture, which is not directly related to prompt engineering.",
Confidence-based Estimators for Predictive Performance in Model Monitoring,"['Juhani Kivimäki', 'Jakub Białek', 'Jukka K. Nurminen', 'Wojtek Kuberski']","After a machine learning model has been deployed into production, its
predictive performance needs to be monitored. Ideally, such monitoring can be
carried out by comparing the model's predictions against ground truth labels.
For this to be possible, the ground truth labels must be available relatively
soon after inference. However, there are many use cases where ground truth
labels are available only after a significant delay, or in the worst case, not
at all. In such cases, directly monitoring the model's predictive performance
is impossible.
  Recently, novel methods for estimating the predictive performance of a model
when ground truth is unavailable have been developed. Many of these methods
leverage model confidence or other uncertainty estimates and are experimentally
compared against a naive baseline method, namely Average Confidence (AC), which
estimates model accuracy as the average of confidence scores for a given set of
predictions. However, until now the theoretical properties of the AC method
have not been properly explored. In this paper, we try to fill this gap by
reviewing the AC method and show that under certain general assumptions, it is
an unbiased and consistent estimator of model accuracy with many desirable
properties. We also compare this baseline estimator against some more complex
estimators empirically and show that in many cases the AC method is able to
beat the others, although the comparative quality of the different estimators
is heavily case-dependent.",http://arxiv.org/pdf/2407.08649v1,2024-07-11,2407.08649v1,Confidence-based Estimators for Predictive Performance in Model Monitoring,gpt-3.5-turbo,highly irrelevant,"This paper focuses on estimating the predictive performance of a model using confidence scores and comparing different estimation methods, which is not directly related to prompt engineering.",
Towards Building Specialized Generalist AI with System 1 and System 2 Fusion,"['Kaiyan Zhang', 'Biqing Qi', 'Bowen Zhou']","In this perspective paper, we introduce the concept of Specialized Generalist
Artificial Intelligence (SGAI or simply SGI) as a crucial milestone toward
Artificial General Intelligence (AGI). Compared to directly scaling general
abilities, SGI is defined as AI that specializes in at least one task,
surpassing human experts, while also retaining general abilities. This fusion
path enables SGI to rapidly achieve high-value areas. We categorize SGI into
three stages based on the level of mastery over professional skills and
generality performance. Additionally, we discuss the necessity of SGI in
addressing issues associated with large language models, such as their
insufficient generality, specialized capabilities, uncertainty in innovation,
and practical applications. Furthermore, we propose a conceptual framework for
developing SGI that integrates the strengths of Systems 1 and 2 cognitive
processing. This framework comprises three layers and four key components,
which focus on enhancing individual abilities and facilitating collaborative
evolution. We conclude by summarizing the potential challenges and suggesting
future directions. We hope that the proposed SGI will provide insights into
further research and applications towards achieving AGI.",http://arxiv.org/pdf/2407.08642v1,2024-07-11,2407.08642v1,Towards Building Specialized Generalist AI with System 1 and System 2 Fusion,gpt-3.5-turbo,highly irrelevant,The paper focuses on the development of specialized generalist AI and does not specifically mention hard prefix prompting or prompt engineering.,
A Novel Framework for Automated Warehouse Layout Generation,"['Atefeh Shahroudnejad', 'Payam Mousavi', 'Oleksii Perepelytsia', 'Sahir', 'David Staszak', 'Matthew E. Taylor', 'Brent Bawel']","Optimizing warehouse layouts is crucial due to its significant impact on
efficiency and productivity. We present an AI-driven framework for automated
warehouse layout generation. This framework employs constrained beam search to
derive optimal layouts within given spatial parameters, adhering to all
functional requirements. The feasibility of the generated layouts is verified
based on criteria such as item accessibility, required minimum clearances, and
aisle connectivity. A scoring function is then used to evaluate the feasible
layouts considering the number of storage locations, access points, and
accessibility costs. We demonstrate our method's ability to produce feasible,
optimal layouts for a variety of warehouse dimensions and shapes, diverse door
placements, and interconnections. This approach, currently being prepared for
deployment, will enable human designers to rapidly explore and confirm options,
facilitating the selection of the most appropriate layout for their use-case.",http://arxiv.org/pdf/2407.08633v1,2024-07-11,2407.08633v1,A Novel Framework for Automated Warehouse Layout Generation,gpt-3.5-turbo,highly irrelevant,The paper focuses on the development of an AI-driven framework for generating warehouse layouts and does not mention any connection to prompt engineering or hard prefix prompting.,
A Review of Nine Physics Engines for Reinforcement Learning Research,"['Michael Kaup', 'Cornelius Wolff', 'Hyerim Hwang', 'Julius Mayer', 'Elia Bruni']","We present a review of popular simulation engines and frameworks used in
reinforcement learning (RL) research, aiming to guide researchers in selecting
tools for creating simulated physical environments for RL and training setups.
It evaluates nine frameworks (Brax, Chrono, Gazebo, MuJoCo, ODE, PhysX,
PyBullet, Webots, and Unity) based on their popularity, feature range, quality,
usability, and RL capabilities. We highlight the challenges in selecting and
utilizing physics engines for RL research, including the need for detailed
comparisons and an understanding of each framework's capabilities. Key findings
indicate MuJoCo as the leading framework due to its performance and
flexibility, despite usability challenges. Unity is noted for its ease of use
but lacks scalability and simulation fidelity. The study calls for further
development to improve simulation engines' usability and performance and
stresses the importance of transparency and reproducibility in RL research.
This review contributes to the RL community by offering insights into the
selection process for simulation engines, facilitating informed
decision-making.",http://arxiv.org/pdf/2407.08590v1,2024-07-11,2407.08590v1,A Review of Nine Physics Engines for Reinforcement Learning Research,gpt-3.5-turbo,highly irrelevant,The paper focuses on evaluating simulation engines for reinforcement learning research and does not mention prompt engineering or hard prefix prompting.,
HACMan++: Spatially-Grounded Motion Primitives for Manipulation,"['Bowen Jiang', 'Yilin Wu', 'Wenxuan Zhou', 'Chris Paxton', 'David Held']","Although end-to-end robot learning has shown some success for robot
manipulation, the learned policies are often not sufficiently robust to
variations in object pose or geometry. To improve the policy generalization, we
introduce spatially-grounded parameterized motion primitives in our method
HACMan++. Specifically, we propose an action representation consisting of three
components: what primitive type (such as grasp or push) to execute, where the
primitive will be grounded (e.g. where the gripper will make contact with the
world), and how the primitive motion is executed, such as parameters specifying
the push direction or grasp orientation. These three components define a novel
discrete-continuous action space for reinforcement learning. Our framework
enables robot agents to learn to chain diverse motion primitives together and
select appropriate primitive parameters to complete long-horizon manipulation
tasks. By grounding the primitives on a spatial location in the environment,
our method is able to effectively generalize across object shape and pose
variations. Our approach significantly outperforms existing methods,
particularly in complex scenarios demanding both high-level sequential
reasoning and object generalization. With zero-shot sim-to-real transfer, our
policy succeeds in challenging real-world manipulation tasks, with
generalization to unseen objects. Videos can be found on the project website:
https://sgmp-rss2024.github.io.",http://arxiv.org/pdf/2407.08585v1,2024-07-11,2407.08585v1,HACMan++: Spatially-Grounded Motion Primitives for Manipulation,gpt-3.5-turbo,highly irrelevant,"The paper focuses on introducing spatially-grounded parameterized motion primitives for robot manipulation, which does not directly relate to hard prefix prompting or prompt engineering.",
Multi-Group Proportional Representation,"['Alex Oesterling', 'Claudio Mayrink Verdun', 'Carol Xuan Long', 'Alex Glynn', 'Lucas Monteiro Paes', 'Sajani Vithana', 'Martina Cardone', 'Flavio P. Calmon']","Image search and retrieval tasks can perpetuate harmful stereotypes, erase
cultural identities, and amplify social disparities. Current approaches to
mitigate these representational harms balance the number of retrieved items
across population groups defined by a small number of (often binary)
attributes. However, most existing methods overlook intersectional groups
determined by combinations of group attributes, such as gender, race, and
ethnicity. We introduce Multi-Group Proportional Representation (MPR), a novel
metric that measures representation across intersectional groups. We develop
practical methods for estimating MPR, provide theoretical guarantees, and
propose optimization algorithms to ensure MPR in retrieval. We demonstrate that
existing methods optimizing for equal and proportional representation metrics
may fail to promote MPR. Crucially, our work shows that optimizing MPR yields
more proportional representation across multiple intersectional groups
specified by a rich function class, often with minimal compromise in retrieval
accuracy.",http://arxiv.org/pdf/2407.08571v1,2024-07-11,2407.08571v1,Multi-Group Proportional Representation,gpt-3.5-turbo,highly irrelevant,"The paper is focused on a metric for representation across intersectional groups in image search and retrieval tasks, and does not mention prompt engineering.",
The Career Interests of Large Language Models,"['Meng Hua', 'Yuan Cheng', 'Hengshu Zhu']","Recent advancements in Large Language Models (LLMs) have significantly
extended their capabilities, evolving from basic text generation to complex,
human-like interactions. In light of the possibilities that LLMs could assume
significant workplace responsibilities, it becomes imminently necessary to
explore LLMs' capacities as professional assistants. This study focuses on the
aspect of career interests by applying the Occupation Network's Interest
Profiler short form to LLMs as if they were human participants and investigates
their hypothetical career interests and competence, examining how these vary
with language changes and model advancements. We analyzed the answers using a
general linear mixed model approach and found distinct career interest
inclinations among LLMs, particularly towards the social and artistic domains.
Interestingly, these preferences did not align with the occupations where LLMs
exhibited higher competence. This novel approach of using psychometric
instruments and sophisticated statistical tools on LLMs unveils fresh
perspectives on their integration into professional environments, highlighting
human-like tendencies and promoting a reevaluation of LLMs' self-perception and
competency alignment in the workforce.",http://arxiv.org/pdf/2407.08564v1,2024-07-11,2407.08564v1,The Career Interests of Large Language Models,gpt-3.5-turbo,highly irrelevant,"The paper does not focus on prompt engineering or hard prefix prompting, but rather on the career interests and competencies of Large Language Models.",
